COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:25 5/30/2020
COMMENT	Folder: C:\Users\Student\Documents\Personal\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\Users\Student\Documents\Personal\	-------	4	0	0	0
FOLDER	C:\Users\Student\Documents\Personal\Proposals\	-------	0	0	0	0
TOTAL	C:\Users\Student\Documents\Personal\Proposals\	-------	0	0	0	0
FOLDER	C:\Users\Student\Documents\Personal\Purchases\	-------	0	292	61,839,156	61,839,156
FILE	---A----	4/14/2020 22:22	4/25/2020 04:46	4/25/2020 04:46	214,387	Amazon Order - dash cam.pdf
FILE	---A----	4/14/2020 22:30	5/13/2020 05:01	5/13/2020 05:01	213,761	Home Depot - gaming pc.pdf
FILE	---A----	4/14/2020 23:20	4/26/2020 05:02	4/26/2020 05:02	215,082	Amazon Order - bluetooth speakers.pdf
FILE	---A----	4/14/2020 23:31	4/28/2020 00:01	4/28/2020 00:01	213,556	Amazon Order - prime video.pdf
FILE	---A----	4/14/2020 23:40	5/14/2020 02:01	5/14/2020 02:01	213,460	NewEgg - iphone x.pdf
FILE	---A----	4/14/2020 23:50	4/27/2020 22:16	4/27/2020 22:16	214,001	Best Buy - chromecast.pdf
FILE	---A----	4/15/2020 00:01	4/28/2020 16:16	4/28/2020 16:16	214,240	Home Depot - fitbit.pdf
FILE	---A----	4/15/2020 00:10	4/23/2020 21:02	4/23/2020 21:02	213,359	Amazon Order - kindle.pdf
FILE	---A----	4/15/2020 00:20	5/28/2020 20:01	5/28/2020 20:01	213,309	NewEgg - huawei.pdf
FILE	---A----	4/15/2020 00:30	4/21/2020 20:05	4/21/2020 23:39	213,499	Amazon Order - redmi 4.pdf
FILE	---A----	4/15/2020 00:40	5/27/2020 20:01	5/27/2020 20:01	213,195	Amazon Order - mobile.pdf
FILE	---A----	4/15/2020 00:50	4/27/2020 04:16	4/27/2020 04:16	212,615	Amazon Order - iphone 6 case.pdf
FILE	---A----	4/15/2020 01:01	4/23/2020 13:15	4/23/2020 13:15	213,545	Amazon Order - smart watch.pdf
FILE	---A----	4/15/2020 01:10	5/13/2020 14:15	5/13/2020 14:15	214,458	Best Buy - gtx 1080.pdf
FILE	---A----	4/15/2020 01:20	5/14/2020 20:01	5/14/2020 20:01	212,896	NewEgg - power bank.pdf
FILE	---A----	4/15/2020 01:30	5/18/2020 02:01	5/22/2020 08:38	213,934	Amazon Order - keyboard.pdf
FILE	---A----	4/15/2020 01:40	4/30/2020 05:01	4/30/2020 05:01	213,689	NewEgg - office chair.pdf
FILE	---A----	4/15/2020 01:50	4/23/2020 15:46	4/23/2020 15:46	211,630	Amazon Order - laptops.pdf
FILE	---A----	4/15/2020 02:01	5/18/2020 17:01	5/22/2020 08:38	214,174	Amazon Order - monitor.pdf
FILE	---A----	4/15/2020 02:10	4/27/2020 07:02	4/27/2020 07:02	213,977	Best Buy - fire stick.pdf
FILE	---A----	4/15/2020 02:20	5/26/2020 23:01	5/26/2020 23:01	215,107	Best Buy - blender.pdf
FILE	---A----	4/15/2020 02:40	4/29/2020 20:01	4/29/2020 20:01	214,262	Best Buy - desk.pdf
FILE	---A----	4/15/2020 02:50	4/28/2020 06:31	4/28/2020 06:31	214,294	Best Buy - airpods.pdf
FILE	---A----	4/15/2020 03:01	5/8/2020 17:01	5/8/2020 17:01	213,542	Amazon Order - iphone 6.pdf
FILE	---A----	4/15/2020 03:10	4/27/2020 12:46	4/27/2020 12:46	213,484	NewEgg - iphone charger.pdf
FILE	---A----	4/15/2020 03:20	4/15/2020 03:20	4/15/2020 03:20	212,813	Best Buy - echo dot.pdf
FILE	---A----	4/15/2020 03:40	4/28/2020 04:16	4/28/2020 04:16	213,458	Home Depot - computer desk.pdf
FILE	---A----	4/15/2020 03:50	4/27/2020 03:46	4/27/2020 03:46	214,327	NewEgg - iphone 7 plus case.pdf
FILE	---A----	4/15/2020 04:00	5/3/2020 08:00	5/3/2020 08:00	213,914	Amazon Order - samsung galaxy s7.pdf
FILE	---A----	4/15/2020 04:10	5/29/2020 11:01	5/29/2020 11:01	213,642	Best Buy - dash cam.pdf
FILE	---A----	4/15/2020 04:20	4/26/2020 22:16	4/26/2020 22:16	213,481	Best Buy - gtx 1060.pdf
FILE	---A----	4/15/2020 04:30	5/17/2020 08:02	5/17/2020 08:02	178,813	NewEgg - ps4.pdf
FILE	---A----	4/15/2020 04:40	5/26/2020 17:01	5/26/2020 17:01	213,815	Lowes - star wars.pdf
FILE	---A----	4/15/2020 04:50	4/25/2020 22:16	4/25/2020 22:16	213,620	Home Depot - drone.pdf
FILE	---A----	4/15/2020 05:00	4/21/2020 22:05	4/21/2020 23:39	213,499	Amazon Order - desk.pdf
FILE	---A----	4/15/2020 05:10	5/2/2020 11:01	5/2/2020 11:01	214,752	Amazon Order - ssd.pdf
FILE	---A----	4/15/2020 05:20	4/26/2020 00:31	4/26/2020 00:31	213,501	Lowes - vacuum cleaner.pdf
FILE	---A----	4/15/2020 05:41	5/26/2020 20:01	5/26/2020 20:01	214,446	Amazon Order - pokemon.pdf
FILE	---A----	4/15/2020 05:50	5/4/2020 23:01	5/4/2020 23:01	212,633	Amazon Order - iphone 6s case.pdf
FILE	---A----	4/15/2020 06:01	4/26/2020 10:31	4/26/2020 10:31	213,088	Home Depot - desk.pdf
FILE	---A----	4/15/2020 06:11	5/24/2020 08:01	5/24/2020 08:01	214,311	Lowes - socks.pdf
FILE	---A----	4/15/2020 06:20	5/21/2020 20:01	5/22/2020 08:38	214,382	Best Buy - echo.pdf
FILE	---A----	4/15/2020 06:31	4/27/2020 14:31	4/27/2020 14:31	212,942	Amazon Order - gift card.pdf
FILE	---A----	4/15/2020 06:41	5/10/2020 08:01	5/10/2020 08:01	215,044	NewEgg - iphone 8.pdf
FILE	---A----	4/15/2020 07:01	5/1/2020 23:01	5/1/2020 23:01	214,766	Amazon Order - amazon.pdf
FILE	---A----	4/15/2020 07:11	4/28/2020 09:31	4/28/2020 09:31	214,240	Lowes - switch.pdf
FILE	---A----	4/15/2020 07:21	4/23/2020 19:02	4/23/2020 19:02	213,921	Lowes - tablet.pdf
FILE	---A----	4/15/2020 07:31	5/28/2020 14:01	5/28/2020 14:01	214,571	NewEgg - samsung.pdf
FILE	---A----	4/15/2020 07:40	4/28/2020 07:01	4/28/2020 07:01	212,520	Lowes - wireless mouse.pdf
FILE	---A----	4/15/2020 07:51	5/23/2020 11:01	5/23/2020 11:01	212,612	Amazon Order - micro sd card.pdf
FILE	---A----	4/15/2020 08:20	5/27/2020 05:02	5/27/2020 05:02	213,178	Amazon Order - earbuds.pdf
FILE	---A----	4/15/2020 08:31	5/21/2020 23:01	5/22/2020 08:38	213,431	Best Buy - gaming mouse.pdf
FILE	---A----	4/15/2020 08:40	5/15/2020 23:01	5/15/2020 23:01	178,813	Best Buy - amazon.pdf
FILE	---A----	4/15/2020 08:50	4/26/2020 00:16	4/26/2020 00:16	214,391	Amazon Order - iphone x case.pdf
FILE	---A----	4/15/2020 09:01	5/24/2020 17:01	5/24/2020 17:01	213,855	Amazon Order - iphone 7 case.pdf
FILE	---A----	4/15/2020 09:11	5/5/2020 23:01	5/5/2020 23:01	214,528	NewEgg - kindle.pdf
FILE	---A----	4/15/2020 09:21	4/23/2020 02:31	4/23/2020 02:31	213,796	Amazon Order - mouse.pdf
FILE	---A----	4/15/2020 09:30	4/25/2020 02:16	4/25/2020 02:16	212,935	NewEgg - samsung galaxy s7.pdf
FILE	---A----	4/15/2020 09:41	5/13/2020 23:01	5/13/2020 23:01	212,746	Home Depot - doctor who.pdf
FILE	---A----	4/15/2020 09:51	5/27/2020 02:01	5/27/2020 02:01	213,139	Amazon Order - headphones.pdf
FILE	---A----	4/15/2020 10:01	5/26/2020 14:01	5/26/2020 14:01	213,441	Amazon Order - water bottle.pdf
FILE	---A----	4/15/2020 10:11	4/25/2020 09:01	4/25/2020 09:01	214,824	Best Buy - hdmi cable.pdf
FILE	---A----	4/15/2020 10:20	4/28/2020 15:46	4/28/2020 15:46	214,240	Best Buy - air fryer.pdf
