COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:32 5/30/2020
COMMENT	Folder: C:\$Recycle.Bin\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\$Recycle.Bin\	-HS----	3	0	0	0
FOLDER	C:\$Recycle.Bin\S-1-5-21-3204009595-3950962059-2982198161-1000\	-HS----	0	1	129	129
FILE	-HSA----	8/23/2017 13:35	8/23/2017 13:35	5/30/2020 11:28	129	desktop.ini
TOTAL	C:\$Recycle.Bin\S-1-5-21-3204009595-3950962059-2982198161-1000\	-HS----	0	1	129	129
FOLDER	C:\$Recycle.Bin\S-1-5-21-3204009595-3950962059-2982198161-1001\	-HS----	19	7,336	2,382,928,568	2,382,928,568
FILE	-HSA----	8/23/2017 13:40	8/23/2017 13:40	5/30/2020 10:57	129	desktop.ini
FILE	---A----	4/4/2020 23:40	4/4/2020 23:40	4/13/2020 22:20	189	$RBTUDP8.config
FILE	---A---X	4/4/2020 23:40	4/4/2020 23:40	4/13/2020 22:35	1,638,912	$RHDT631.dll
FILE	---A---X	4/4/2020 23:40	4/4/2020 23:40	4/17/2020 08:19	31,232	$ROVET6Y.exe
FILE	---A---X	4/4/2020 23:40	4/4/2020 23:40	4/13/2020 22:35	30,720	$RSMVYTD.dll
FILE	---A----	4/4/2020 23:40	4/4/2020 23:40	4/13/2020 22:20	174	$RWBZF5S.md
FILE	---A----	4/12/2020 15:34	4/12/2020 15:34	4/12/2020 15:35	3,947	$RJJ4QNZ.zip
FILE	---A----	4/12/2020 15:35	4/12/2020 15:35	5/30/2020 11:10	264	$IJJ4QNZ.zip
FILE	---A----	4/12/2020 16:46	4/12/2020 16:46	4/12/2020 16:46	0	$RA7D3UT.stdout
FILE	---A----	4/12/2020 16:46	4/12/2020 16:46	4/12/2020 16:46	0	$RI5AWMT.stderr
FILE	---A----	4/12/2020 16:47	4/12/2020 16:47	5/30/2020 11:10	210	$IA7D3UT.stdout
FILE	---A----	4/12/2020 16:47	4/12/2020 16:47	5/30/2020 11:10	210	$II5AWMT.stderr
FILE	---A----	4/12/2020 16:57	4/12/2020 17:14	4/12/2020 17:14	0	$RO34AZB.stderr
FILE	---A----	4/12/2020 16:58	4/12/2020 17:14	4/12/2020 17:14	0	$RGS0TA0.stdout
FILE	---A----	4/12/2020 17:04	4/12/2020 15:35	4/12/2020 17:04	12,712	$ROED7XE.py
FILE	---A----	4/12/2020 17:09	4/12/2020 15:35	4/12/2020 17:11	12,712	$RJI3XVD.xxpywxx
FILE	---A----	4/12/2020 17:18	4/12/2020 17:18	5/30/2020 11:10	212	$IJI3XVD.xxpywxx
FILE	---A----	4/12/2020 17:18	4/12/2020 17:18	5/30/2020 11:10	220	$IOED7XE.py
FILE	---A----	4/12/2020 17:22	4/12/2020 17:22	5/30/2020 11:10	210	$IGS0TA0.stdout
FILE	---A----	4/12/2020 17:22	4/12/2020 17:22	5/30/2020 11:10	210	$IO34AZB.stderr
FILE	---A----	4/12/2020 17:23	4/12/2020 21:15	4/12/2020 23:10	6,573	$RG4U6O7.pyw
FILE	---A----	4/12/2020 17:23	4/12/2020 15:35	4/12/2020 23:10	12,712	$RTLFD58
FILE	---A----	4/12/2020 23:10	4/12/2020 23:10	5/30/2020 11:10	204	$ITLFD58
FILE	---A----	4/12/2020 23:10	4/12/2020 23:10	5/30/2020 11:10	170	$IG4U6O7.pyw
FILE	---A----	4/12/2020 23:45	4/12/2020 23:45	4/13/2020 23:20	238	$RX96ZBX.ini
FILE	---A----	4/12/2020 23:45	4/12/2020 23:45	4/13/2020 23:23	238	$RTSV5S0.ini
FILE	---A----	4/12/2020 23:45	4/13/2020 23:07	4/13/2020 23:11	7,653,122	$RTDPFA5.pdf
FILE	---A----	4/12/2020 23:57	4/12/2020 23:57	4/12/2020 23:57	246	$RN35ID9.ini
FILE	---A----	4/12/2020 23:57	4/12/2020 23:57	4/13/2020 23:23	246	$RMSD96B.ini
FILE	---A----	4/13/2020 22:19	4/13/2020 22:19	4/13/2020 22:19	833,369	$RAFH3CZ.zip
FILE	---A---X	4/13/2020 22:19	4/13/2020 22:19	4/17/2020 08:19	14,336	$R623B3I.exe
FILE	---A----	4/13/2020 22:20	4/13/2020 22:20	4/13/2020 22:20	832,228	$RNO47PZ.zip
FILE	---A----	4/13/2020 22:20	4/13/2020 22:20	5/30/2020 11:10	238	$IBTUDP8.config
FILE	---A---X	4/13/2020 22:47	4/13/2020 22:47	5/30/2020 11:10	136	$I623B3I.exe
FILE	---A----	4/13/2020 22:47	4/13/2020 22:47	5/30/2020 11:10	106	$IAFH3CZ.zip
FILE	---A----	4/13/2020 22:48	4/13/2020 23:41	4/13/2020 23:56	1,919	$ROXW29U.log
FILE	---A----	4/13/2020 22:49	4/13/2020 22:50	4/13/2020 23:57	231	$RAGN6KI.txt
FILE	---A---X	4/13/2020 22:58	4/13/2020 22:58	5/30/2020 11:10	216	$IHDT631.dll
FILE	---A----	4/13/2020 22:58	4/13/2020 22:58	5/30/2020 11:10	232	$INO47PZ.zip
FILE	---A---X	4/13/2020 22:58	4/13/2020 22:58	5/30/2020 11:10	224	$IOVET6Y.exe
FILE	---A---X	4/13/2020 22:58	4/13/2020 22:58	5/30/2020 11:10	222	$ISMVYTD.dll
FILE	---A----	4/13/2020 22:58	4/13/2020 22:58	5/30/2020 11:10	190	$IWBZF5S.md
FILE	---A---X	4/13/2020 23:16	4/13/2020 23:16	4/17/2020 08:19	14,336	$RREV0BX.exe
FILE	---A----	4/13/2020 23:23	4/13/2020 23:23	5/30/2020 11:02	50	$I21WTSR
