COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:36 5/30/2020
COMMENT	Folder: C:\Users\Student\AppData\Local\Temp\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\Users\Student\AppData\Local\Temp\	-------	22	200	98,204,840	98,204,840
FILE	---A----	4/3/2020 11:50	5/30/2020 11:29	5/30/2020 11:29	53	18e190413af045db88dfbd29609eb877.db.ses
FILE	---A----	4/4/2020 10:53	5/30/2020 11:02	5/30/2020 11:10	2,457,600	History
FILE	---A----	4/12/2020 14:42	5/30/2020 09:07	5/30/2020 09:07	344,629	AdobeARM.log
FILE	---A----	5/7/2020 15:24	5/7/2020 15:24	5/29/2020 03:16	526	wct3E0D.tmp
FILE	---A----	5/7/2020 15:24	5/7/2020 15:24	5/30/2020 01:24	526	wct84C.tmp
FILE	---A----	5/7/2020 15:24	5/7/2020 15:24	5/24/2020 03:36	526	wctA162.tmp
FILE	---A----	5/7/2020 15:24	5/7/2020 15:24	5/27/2020 01:15	526	wctA808.tmp
FILE	---A----	5/7/2020 15:24	5/7/2020 15:24	5/25/2020 03:00	526	wctE789.tmp
FILE	---A----	5/7/2020 15:24	5/7/2020 15:24	5/26/2020 02:27	526	wctEDBA.tmp
FILE	---A----	5/7/2020 15:24	5/7/2020 15:24	5/28/2020 00:05	526	wctF1BF.tmp
FILE	--------	5/17/2020 19:55	5/17/2020 19:55	5/17/2020 19:55	470	aria-debug-6680.log
FILE	--------	5/17/2020 19:55	5/17/2020 19:55	5/17/2020 19:55	470,016	dd494218-6896-4024-95fb-b23042116eeb.tmp.node
FILE	---A----	5/22/2020 16:40	5/22/2020 16:40	5/24/2020 03:36	27,947	wctA019.tmp
FILE	---A----	5/22/2020 16:40	5/22/2020 16:40	5/25/2020 03:00	27,947	wctE64F.tmp
FILE	---A----	5/22/2020 16:40	5/22/2020 16:40	5/26/2020 02:27	27,947	wctEC90.tmp
FILE	---A----	5/23/2020 08:01	5/23/2020 08:01	5/23/2020 08:01	0	mat-debug-3176.log
FILE	---A---X	5/23/2020 08:01	5/23/2020 08:01	5/23/2020 08:01	262,144	53yveksk.szc-AAF-Bot.exe
FILE	---A---X	5/23/2020 08:01	5/23/2020 08:01	5/23/2020 08:01	786,432	y5jkfbsr.qk2-AAF-Bot.msi
FILE	---A----	5/23/2020 11:00	5/23/2020 11:00	5/23/2020 11:00	0	mat-debug-9412.log
FILE	---A---X	5/23/2020 11:01	5/23/2020 11:01	5/23/2020 11:01	262,144	cnb0bzps.v20-AAF-Bot.exe
FILE	---A---X	5/23/2020 11:01	5/23/2020 11:01	5/23/2020 11:01	262,144	ku2kgzth.hbc-AAF-Bot.exe
FILE	---A----	5/23/2020 14:00	5/23/2020 14:00	5/23/2020 14:00	0	mat-debug-4696.log
FILE	---A---X	5/23/2020 14:01	5/23/2020 14:01	5/23/2020 14:01	524,288	vwvf1gaj.fp4-AAF-Bot.dll
FILE	---A----	5/23/2020 14:01	5/23/2020 14:01	5/23/2020 14:01	1,310,720	wagwfdgo.4qx-AAF-Bot.pdf
FILE	---A----	5/23/2020 17:00	5/23/2020 17:00	5/23/2020 17:00	0	mat-debug-4308.log
FILE	---A---X	5/23/2020 17:01	5/23/2020 17:01	5/23/2020 17:01	1,048,576	5zuyyrop.x3w-AAF-Bot.doc
FILE	---A---X	5/23/2020 17:01	5/23/2020 17:01	5/23/2020 17:01	524,288	suvnhr1w.usc-AAF-Bot.dll
