
Interface: 192.168.202.169 --- 0xf
  Internet Address      Physical Address      Type
  169.254.20.85         00-50-56-b0-b0-88     dynamic   
  169.254.30.239        00-50-56-b0-e3-28     dynamic   
  169.254.60.49         00-50-56-b0-24-25     dynamic   
  169.254.95.213        00-50-56-b0-1d-0e     dynamic   
  169.254.176.124       00-50-56-b0-68-dc     dynamic   
  169.254.213.113       00-50-56-b0-88-22     dynamic   
  169.254.222.109       00-50-56-b0-4c-0a     dynamic   
  192.168.200.36        00-50-56-b0-24-25     dynamic   
  192.168.200.71        00-50-56-b0-4c-0a     dynamic   
  192.168.200.77        00-50-56-b0-1d-0e     dynamic   
  192.168.200.79        00-50-56-b0-e3-28     dynamic   
  192.168.200.118       00-50-56-b0-b0-88     dynamic   
  192.168.200.146       00-50-56-b0-68-dc     dynamic   
  192.168.200.225       00-50-56-b0-d7-24     dynamic   
  192.168.201.189       00-50-56-b0-2b-11     dynamic   
  192.168.201.219       00-50-56-b0-05-dd     dynamic   
  192.168.202.6         00-50-56-b0-9e-12     dynamic   
  192.168.202.12        00-50-56-b0-ab-e8     dynamic   
  192.168.202.54        00-50-56-b0-84-c9     dynamic   
  192.168.202.60        00-50-56-b0-4f-37     dynamic   
  192.168.202.85        00-50-56-b0-b1-70     dynamic   
  192.168.202.86        00-50-56-b0-c6-51     dynamic   
  192.168.202.87        00-50-56-b0-04-de     dynamic   
  192.168.202.88        00-50-56-b0-24-e3     dynamic   
  192.168.202.98        00-50-56-b0-32-a2     dynamic   
  192.168.202.102       00-50-56-b0-ee-ae     dynamic   
  192.168.202.109       00-50-56-b0-6b-9d     dynamic   
  192.168.202.128       00-50-56-b0-74-4b     dynamic   
  192.168.202.150       00-50-56-b0-b7-18     dynamic   
  192.168.202.190       00-50-56-b0-ff-98     dynamic   
  192.168.202.191       00-50-56-b0-67-77     dynamic   
  192.168.202.194       00-50-56-b0-19-90     dynamic   
  192.168.202.207       00-50-56-b0-31-bb     dynamic   
  192.168.202.245       00-50-56-b0-2a-5b     dynamic   
  192.168.203.9         00-50-56-b0-f1-08     dynamic   
  192.168.203.36        00-50-56-b0-fd-f5     dynamic   
  192.168.203.168       00-50-56-b0-a7-dd     dynamic   
  192.168.205.76        00-50-56-b0-12-cb     dynamic   
  192.168.205.140       00-50-56-b0-84-5d     dynamic   
  192.168.206.26        00-50-56-b0-20-47     dynamic   
  192.168.206.48        00-50-56-b0-f1-e0     dynamic   
  192.168.206.75        00-50-56-b0-85-e4     dynamic   
  192.168.207.254       00-50-56-b0-42-aa     dynamic   
  192.168.207.255       ff-ff-ff-ff-ff-ff     static    
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
